Subject	Activity	tBodyAcc	tGravityAcc	tBodyAccJerk	tBodyGyro	tBodyGyroJerk	tBodyAccMag	tGravityAccMag	tBodyAccJerkMag	tBodyGyroMag	tBodyGyroJerkMag	fBodyAcc	fBodyAccJerk	fBodyGyro	fBodyAccMag	fBodyBodyAccJerkMag	fBodyBodyGyroMag	fBodyBodyGyroJerkMag
2	STANDING	-0.384489883666667	-0.27627858	-0.461479538666667	-0.4037202625	-0.537351313333333	-0.78606025	-0.78606025	-0.9128804	-0.778808575	-0.90976925	-0.855926381666667	-0.929366765	-0.871915206666667	-0.751010215	-0.89571038	-0.783861425	-0.898736505
2	STANDING	-0.455674988166667	-0.357828115	-0.47484091935	-0.471814178816667	-0.522637216	-0.961431895	-0.961431895	-0.95736228	-0.904645735	-0.958741705	-0.963066305	-0.968095835	-0.941073803333333	-0.95693623	-0.939794615	-0.920617485	-0.94509489
2	STANDING	-0.4658683	-0.362879818333333	-0.480759135766667	-0.497910871833333	-0.523390960333333	-0.97765581	-0.97765581	-0.976494395	-0.95548491	-0.985574755	-0.975762598333333	-0.978553573333333	-0.975871115	-0.97971696	-0.9706884	-0.974603925	-0.984480735
2	STANDING	-0.4691561515	-0.362789758333333	-0.470059010333333	-0.4950799695	-0.525805136666667	-0.975670195	-0.975670195	-0.9787598	-0.95877631	-0.98719423	-0.978282376666667	-0.98022355	-0.970653775	-0.977756345	-0.975069445	-0.97377275	-0.98570239
2	STANDING	-0.470355824666667	-0.362112471666667	-0.475658731933333	-0.497715352666667	-0.524070836666667	-0.976364475	-0.976364475	-0.98788094	-0.963459375	-0.99024048	-0.98024597	-0.98592974	-0.974428436666667	-0.97828853	-0.98860236	-0.973313175	-0.990534985
2	STANDING	-0.4639151365	-0.368921431666667	-0.476472656433333	-0.492630334333333	-0.525690556166667	-0.979710125	-0.979710125	-0.98966634	-0.971519445	-0.988445515	-0.97787598	-0.986937636666667	-0.973752293333333	-0.97893903	-0.991519315	-0.97604293	-0.989268815
2	STANDING	-0.465403754333333	-0.372844746666667	-0.483270560066667	-0.4939367355	-0.5266889085	-0.986462715	-0.986462715	-0.990831345	-0.98117178	-0.991450305	-0.983607776666667	-0.988663821666667	-0.982535406666667	-0.985739455	-0.992241475	-0.982220275	-0.991868505
2	STANDING	-0.471698523333333	-0.371558943333333	-0.48298348395	-0.497788611666667	-0.527804364833333	-0.98884632	-0.98884632	-0.99361052	-0.9922684	-0.995750525	-0.987743688333333	-0.99185572	-0.991759173333333	-0.991058215	-0.993388115	-0.9924072	-0.99589384
2	STANDING	-0.470364192166667	-0.370192918333333	-0.478800722083333	-0.499850026833333	-0.530919999833333	-0.990035265	-0.990035265	-0.99561603	-0.99452502	-0.99743252	-0.98707189	-0.992920011666667	-0.994919363333333	-0.99208488	-0.996627145	-0.995693165	-0.99745866
2	STANDING	-0.468455020666667	-0.374700453333333	-0.478886481333333	-0.499143358833333	-0.529726832333333	-0.992281085	-0.992281085	-0.996321415	-0.99363779	-0.99677299	-0.991963828333333	-0.993527728333333	-0.99339019	-0.993318335	-0.99821071	-0.99611082	-0.99732333
2	STANDING	-0.4679419005	-0.371417616666667	-0.481641244566667	-0.498266687333333	-0.529040128333333	-0.992839225	-0.992839225	-0.99293666	-0.99353387	-0.99597713	-0.990747715	-0.991195583333333	-0.992463316666667	-0.993703045	-0.993112245	-0.99484578	-0.99699759
